Designator,Mid X,Mid Y,Rotation,Layer
C1,48.26,-53.34,180.0,top
C2,51.2075,-38.1,180.0,top
C3,31.7025,-45.72,0.0,top
C4,39.7775,-45.72,0.0,top
C5,59.1025,-35.814,180.0,top
C6,59.1025,-43.18,180.0,top
J1,92.71,-54.68,90.0,top
J2,99.06,-40.64,0.0,top
J4,30.48,-58.42,90.0,top
J5,30.48,-33.02,90.0,top
R1,31.75,-49.53,0.0,top
R2,58.42,-49.8875,90.0,top
R3,58.42,-56.7925,90.0,top
SW1,80.92,-55.34,0.0,top
SW2,69.49,-55.34,180.0,top
U1,44.45,-49.53,90.0,top
U2,34.23,-40.38,180.0,top
U3,70.98,-40.19,0.0,top
